1556.3;6.714;
1558.5;6.731;
1560.6;6.774;
1558.4;6.812;
1560.2;6.820;
1565.2;6.870;
1582.0;7.016;
1581.1;7.050;
1588.4;7.109;
1602.8;7.199;
1607.7;7.236;
1612.0;7.261;
1622.8;7.349;
1629.4;7.410;
1635.4;7.460;
1639.5;7.497;
1644.7;7.530;
1652.5;7.629;
1656.1;7.678;
1656.8;7.721;
1661.6;7.803;
1667.0;7.845;
1672.8;7.877;
1678.5;7.910;
1686.4;7.983;
1689.0;8.012;
1696.1;8.086;
1703.3;8.192;
1706.0;8.221;
1710.8;8.289;
1717.4;8.354;
1721.2;8.390;
1724.3;8.420;
1733.0;8.464;
1737.3;8.485;
1741.2;8.513;
1743.5;8.524;
1746.4;8.541;
1749.3;8.566;
1750.3;8.592;
1751.2;8.611;
1753.8;8.635;
1756.3;8.663;
1757.3;8.674;
1756.9;8.682;
1756.1;8.689;
1756.4;8.700;
1754.3;8.719;
1745.7;8.737;
1743.8;8.752;
1743.0;8.758;
1743.4;8.763;
1740.5;8.772;
1737.5;8.788;
1735.4;8.802;
1735.7;8.815;
1735.8;8.826;
1736.0;8.845;
1740.1;8.868;
1743.0;8.908;
1744.9;8.920;
1747.4;8.937;
1748.8;8.953;
1748.9;8.970;
1749.1;8.979;
1750.3;8.992;
1751.4;9.007;
1752.0;9.022;
1751.6;9.047;
1749.6;9.065;
1748.4;9.098;
1751.2;9.105;
1752.1;9.117;
1753.7;9.130;
1753.8;9.138;
1757.8;9.158;
1762.1;9.198;
1765.5;9.216;
1770.0;9.232;
1770.9;9.253;
1772.0;9.264;
1775.8;9.283;
1777.2;9.291;
1781.6;9.312;
1784.4;9.326;
1787.7;9.343;
1790.3;9.356;
1792.6;9.384;
1794.0;9.393;
1794.8;9.418;
1796.6;9.458;
1796.8;9.497;
1796.4;9.517;
1797.5;9.531;
1797.4;9.549;
1795.7;9.562;
1794.0;9.570;
1793.0;9.581;
1791.3;9.595;
1793.8;9.612;
1790.9;9.624;
1790.9;9.636;
1790.3;9.646;
1792.4;9.655;
1797.9;9.690;
1799.6;9.702;
1799.7;9.714;
1800.9;9.726;
1804.1;9.738;
1805.6;9.748;
1805.4;9.763;
1807.0;9.768;
1812.3;9.787;
1814.6;9.796;
1815.4;9.822;
1823.1;9.850;
1828.6;9.877;
1832.6;9.914;
1837.0;9.944;
1840.5;9.964;
1850.0;10.022;
1858.0;10.059;
1858.9;10.066;
1860.3;10.074;
1862.7;10.110;
1864.6;10.136;
1865.3;10.149;
1866.4;10.164;
1868.4;10.196;
1874.3;10.230;
1874.6;10.243;
1877.6;10.277;
1877.3;10.296;
1877.9;10.364;
1877.6;10.385;
1885.4;10.407;
1889.6;10.424;
1888.5;10.437;
1888.5;10.446;
1887.4;10.455;
1889.3;10.466;
1889.9;10.479;
1892.3;10.493;
1893.6;10.509;
1895.9;10.533;
1897.8;10.547;
1899.9;10.572;
1902.4;10.586;
1906.0;10.616;
1909.6;10.645;
1912.6;10.674;
1914.2;10.700;
1915.0;10.725;
1915.8;10.747;
1917.6;10.778;
1918.5;10.800;
1918.8;10.811;
1920.9;10.840;
1922.4;10.879;
1923.7;10.893;
1926.1;10.915;
1927.3;10.943;
1928.4;10.966;
1929.1;10.982;
1930.9;11.005;
1934.1;11.055;
1934.8;11.116;
1936.3;11.130;
1941.2;11.152;
1943.3;11.169;
1945.8;11.188;
1946.7;11.199;
1948.4;11.231;
1949.1;11.247;
1949.1;11.285;
1948.8;11.290;
1949.0;11.297;
1947.1;11.308;
1945.8;11.330;
1945.7;11.400;
1944.4;11.410;
1944.6;11.433;
1944.1;11.447;
1943.3;11.498;
1943.5;11.511;
1942.7;11.521;
1939.7;11.563;
1938.5;11.596;
1936.4;11.612;
1934.5;11.643;
1935.7;11.651;
1940.6;11.663;
1942.8;11.688;
1944.3;11.708;
1945.5;11.736;
1947.0;11.762;
1948.4;11.795;
